
"Monday, 10 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Beni Al Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"Zusha","Don’t Leave Me On My Own"
4,"SIENNA SPIRO","Great Expectation"
5,"Bar Tzabari","ילדה מטורפת"
6,"Aitch","RMB (Ring My Bell)"
7,"Tame Impala","Loser"
8,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
9,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
10,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
11,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
12,"Mauvais Djo","Pilé (Gospel)"
13,"Temper City","Self Aware"
14,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
15,"Fat Papi & prodshushy","FREAKED OUT"
16,"Stilla & Ness","מונולוג"
17,"Shakira & Burna Boy","Dai Dai"
18,"Eden Golan & ShrekDiMC","סטארבקס"
19,"Gracie Abrams","Hit the Wall"
20,"DJ.ILHAM","DIGIDI DIGIDI"
21,"The Avihu Pinhasov Rhythm Club","משום"
22,"LOVIXX STOSLIV","dont tell your dreams to everybody"
23,"Sarit Hadad","אלה"
24,"Rod Stewart","When I Need You"
25,"Olivia Rodrigo","stupid song"
26,"BLOK3","Sebebi Yar"
27,"Abagar Quartet","Припевки"
28,"The Voice Israel & עופרי אטיאס","בסיבוב הבא"
29,"Yoni Bloch","כל כך הרבה שירים"
30,"DYSTINCT","YAMA"
31,"Ma'ayan Shaked","שיר געגוע"
32,"Peer Tasi & Hanan Ben Ari","הלוואי"
33,"Itay Levy","03"
34,"Don Miguelo","Y Qué Fue?"
35,"ניר כנען","אוי ואבוי לי"
36,"ANOTR","Talk To You (feat. 54 Ultra)"
37,"Michael Kiwanuka","Cold Little Heart"
38,"Adele","Lovesong"
39,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
40,"Mor","לא קונה אותי"
41,"Steve Lacy","oh yeah?"
42,"Rafael","Gotta Be Cool (Extended)"
43,"Ariana Grande","hate that i made you love me"
44,"Asulin & Anna Zak","תזמני (עם אנה זק)"
45,"Meir Banai & Eviatar Banai","אבל את"
46,"Tame Impala","Dracula"
47,"Safe Space Sessions","מנגינה (feat. עלמה גוב)"
