
"Wednesday, 12 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Beni Al Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"SIENNA SPIRO","Great Expectation"
4,"Zusha","Don’t Leave Me On My Own"
5,"Bar Tzabari","ילדה מטורפת"
6,"Aitch","RMB (Ring My Bell)"
7,"Tame Impala","Loser"
8,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
9,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
10,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
11,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
12,"Temper City","Self Aware"
13,"Stilla & Ness","מונולוג"
14,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
15,"Eden Golan & ShrekDiMC","סטארבקס"
16,"Mauvais Djo","Pilé (Gospel)"
17,"Shakira & Burna Boy","Dai Dai"
18,"Fat Papi & prodshushy","FREAKED OUT"
19,"LOVIXX STOSLIV","dont tell your dreams to everybody (feat. LOVIXX)"
20,"Safe Space Sessions","מנגינה (feat. עלמה גוב)"
21,"Olivia Rodrigo","stupid song"
22,"DJ.ILHAM","DIGIDI DIGIDI"
23,"The Avihu Pinhasov Rhythm Club","משום"
24,"Sarit Hadad","אלה"
25,"DYSTINCT","YAMA"
26,"Gracie Abrams","Hit the Wall"
27,"BLOK3","Sebebi Yar"
28,"Avraham Aviv Alush","עד אלייך"
29,"ניר כנען","אוי ואבוי לי"
30,"The Voice Israel & סער מיכאל","Nothing’s Gonna Change My Love for You"
31,"Ma'ayan Shaked","שיר געגוע"
32,"Abagar Quartet","Припевки"
33,"Peer Tasi & Hanan Ben Ari","הלוואי"
34,"Ariana Grande","petal"
35,"Rafael","Gotta Be Cool (Extended)"
36,"Bad Bunny","NUEVAYoL"
37,"Steve Lacy","oh yeah?"
38,"Don Miguelo","Y Qué Fue?"
39,"Itay Levy","03"
40,"ANOTR","Talk To You (feat. 54 Ultra)"
41,"Tame Impala","Dracula"
42,"Ariana Grande","hate that i made you love me"
43,"Michael Kiwanuka","Cold Little Heart"
44,"Mor","לא קונה אותי"
45,"Young Buta","שחור לבן"
46,"Yuval Dayan","לא להרגיש כלל"
