
"Saturday, 22 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"SIENNA SPIRO","Great Expectation"
4,"Tame Impala","Loser"
5,"Zusha","Don’t Leave Me On My Own"
6,"Bar Tzabari","ילדה מטורפת"
7,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
8,"Stilla & Ness","מונולוג"
9,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
10,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
11,"Eden Golan & ShrekDiMC","סטארבקס"
12,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
13,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
14,"The Avihu Pinhasov Rhythm Club","משום"
15,"Aitch","RMB (Ring My Bell)"
16,"Temper City","Self Aware"
17,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
18,"Abagar Quartet","Припевки"
19,"Mauvais Djo","Pilé (Gospel)"
20,"dolly babe","Pink Blush"
21,"Rafael","Gotta Be Cool (Extended)"
22,"Nadav Hanzis","אביצ'י"
23,"ניר כנען","אוי ואבוי לי"
24,"Shakira & Burna Boy","Dai Dai"
25,"Ariana Grande","petal"
26,"Young Buta","שחור לבן"
27,"Steve Lacy","oh yeah?"
28,"Adele","Lovesong"
29,"Olivia Rodrigo","stupid song"
30,"Mecano","Figlio della luna"
31,"Imael Angel","Bad Times (Extended Version)"
32,"Fat Papi & prodshushy","FREAKED OUT"
33,"BLOK3","Sebebi Yar"
34,"Mor","לא קונה אותי"
35,"Nina Simone","I Wish I Knew How It Would Feel to Be Free"
36,"Gracie Abrams","Hit the Wall"
37,"Shay Hamber","הכל וכלום בבת אחת"
38,"Itay Levy","06"
39,"Darco","Baziman (Mixed)"
40,"Quindon Tarver","Everybody's Free (To Wear Sunscreen)"
41,"The Voice Israel & Nofar Shuker","יכולה לבד"
42,"Sarit Hadad","אלה"
43,"Kimo Sounds","Rise Slow"
44,"Bad Bunny","NUEVAYoL"
45,"DYSTINCT","YAMA"
46,"Ariana Grande","hate that i made you love me"
47,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
48,"Osher Cohen","כולם גנבים"
49,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
50,"Ori Coltov","לא רוצה לאהוב אותי"
51,"Bar Tzabari & Shuli Rand","המלך בשדה"
52,"Eden Ben Zaken","לופ שלא נגמר"
53,"Eden Ben Zaken","רולקס וקסקט"
54,"Peer Tasi & Hanan Ben Ari","הלוואי"
55,"Empire Of The Sun","We Are The People"
56,"Meir Banai & Eviatar Banai","אבל את"
57,"Mazzy Star","Fade into You"
58,"Guy Gerber","Leave Me (Darco Remix)"
59,"Don Miguelo","Y Qué Fue?"
60,"Bad Bunny","Tití Me Preguntó"
61,"Ravyn Lenae","Love Me Not"
62,"Odeya","עשר רמות מעליו"
63,"Ricky Rich & ARAM Mafia","Habibi"
64,"The Temper Trap","Sweet Disposition"
65,"Itay Levy","03"
66,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
67,"Zehavi & Zehava Ben","Ya Mama Ya Baba"
68,"LOVIXX STOSLIV","dont tell your dreams to everybody"
69,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version Slowed Down)"
