
"Sunday, 23 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"SIENNA SPIRO","Great Expectation"
4,"Tame Impala","Loser"
5,"Zusha","Don’t Leave Me On My Own"
6,"Bar Tzabari","ילדה מטורפת"
7,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
8,"Stilla & Ness","מונולוג"
9,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
10,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
11,"Eden Golan & ShrekDiMC","סטארבקס"
12,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
13,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
14,"Temper City","Self Aware"
15,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
16,"Aitch","RMB (Ring My Bell)"
17,"The Avihu Pinhasov Rhythm Club","משום"
18,"Abagar Quartet","Припевки"
19,"dolly babe","Pink Blush"
20,"Mauvais Djo","Pilé (Gospel)"
21,"Rafael","Gotta Be Cool (Extended)"
22,"Nadav Hanzis","אביצ'י"
23,"Shakira & Burna Boy","Dai Dai"
24,"Ariana Grande","petal"
25,"ניר כנען","אוי ואבוי לי"
26,"Steve Lacy","oh yeah?"
27,"Young Buta","שחור לבן"
28,"Imael Angel","Bad Times (Extended Version)"
29,"Nina Simone","I Wish I Knew How It Would Feel to Be Free"
30,"Mecano","Figlio della luna"
31,"Adele","Lovesong"
32,"Fat Papi & prodshushy","FREAKED OUT"
33,"Shay Hamber","הכל וכלום בבת אחת"
34,"Itay Levy","06"
35,"Mor","לא קונה אותי"
36,"Olivia Rodrigo","stupid song"
37,"The Voice Israel & Nofar Shuker","יכולה לבד"
38,"BLOK3","Sebebi Yar"
39,"Quindon Tarver","Everybody's Free (To Wear Sunscreen)"
40,"Kimo Sounds","Rise Slow"
41,"Sarit Hadad","אלה"
42,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
43,"Gracie Abrams","Hit the Wall"
44,"Eden Ben Zaken","לופ שלא נגמר"
45,"Bad Bunny","NUEVAYoL"
46,"Ariana Grande","hate that i made you love me"
47,"Meir Banai & Eviatar Banai","אבל את"
48,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
49,"Ori Coltov","לא רוצה לאהוב אותי"
50,"Darco","Baziman (Mixed)"
51,"DYSTINCT","YAMA"
52,"Osher Cohen","כולם גנבים"
53,"Bar Tzabari & Shuli Rand","המלך בשדה"
54,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
55,"Empire Of The Sun","We Are The People"
56,"Ravyn Lenae","Love Me Not"
57,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
58,"Alon Eder","מילים אהבה ויין"
59,"Peer Tasi & Hanan Ben Ari","הלוואי"
60,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
61,"Eden Ben Zaken","רולקס וקסקט"
62,"Don Miguelo","Y Qué Fue?"
63,"Ricky Rich & ARAM Mafia","Habibi"
64,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
65,"Odeya","עשר רמות מעליו"
66,"Tame Impala","Dracula"
67,"The Temper Trap","Sweet Disposition"
68,"Itay Levy","03"
