
"Tuesday, 25 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"Tame Impala","Loser"
4,"SIENNA SPIRO","Great Expectation"
5,"Bar Tzabari","ילדה מטורפת"
6,"Zusha","Don’t Leave Me On My Own"
7,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
8,"Stilla & Ness","מונולוג"
9,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
10,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
11,"Eden Golan & ShrekDiMC","סטארבקס"
12,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
13,"Temper City","Self Aware"
14,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
15,"Aitch","RMB (Ring My Bell)"
16,"Nina Simone","I Wish I Knew How It Would Feel to Be Free"
17,"Abagar Quartet","Припевки"
18,"Rafael","Gotta Be Cool (Extended)"
19,"dolly babe","Pink Blush"
20,"Nadav Hanzis","אביצ'י"
21,"Mauvais Djo","Pilé (Gospel)"
22,"The Avihu Pinhasov Rhythm Club","משום"
23,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
24,"Mika Moshe","מזל שאתה פה"
25,"Young Buta","שחור לבן"
26,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
27,"Imael Angel","Bad Times (Extended Version)"
28,"Shay Hamber","הכל וכלום בבת אחת"
29,"Steve Lacy","oh yeah?"
30,"Shakira & Burna Boy","Dai Dai"
31,"Ariana Grande","petal"
32,"ניר כנען","אוי ואבוי לי"
33,"BLOK3","Sebebi Yar"
34,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
35,"Itay Levy","06"
36,"Meir Banai & Eviatar Banai","אבל את"
37,"Adele","Lovesong"
38,"Bad Bunny","NUEVAYoL"
39,"Mor","לא קונה אותי"
40,"Fat Papi & prodshushy","FREAKED OUT"
41,"Alon Eder","מילים אהבה ויין"
42,"Eden Ben Zaken","לופ שלא נגמר"
43,"Harry Styles","Sign of the Times"
44,"Quindon Tarver","Everybody's Free (To Wear Sunscreen)"
45,"Olivia Rodrigo","stupid song"
46,"Itay Levy","שקרים יפים"
47,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
48,"Kimo Sounds","Rise Slow"
49,"Aura Vortex & Blazy","Horizons (Phaxe Remix)"
50,"Ariana Grande","hate that i made you love me"
51,"Gracie Abrams","Hit the Wall"
52,"Sarit Hadad","אלה"
53,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
54,"Ori Coltov","לא רוצה לאהוב אותי"
55,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
56,"BLOK3 & Poizi","Çok Güzel Gülüyorsun"
57,"Osher Cohen","כולם גנבים"
58,"DYSTINCT","YAMA"
59,"Noodah05","Around Me"
60,"Omer Adam","ריו דה ז'נרו"
61,"Bar Tzabari & Shuli Rand","המלך בשדה"
62,"Don Miguelo","Y Qué Fue?"
63,"Peer Tasi & Hanan Ben Ari","הלוואי"
64,"Ravyn Lenae","Love Me Not"
65,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
66,"Bad Bunny","BAILE INoLVIDABLE"
67,"Eden Ben Zaken","רולקס וקסקט"
68,"Empire Of The Sun","We Are The People"
