
"Thursday, 27 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
2,"Roei Adam","אבי הטחול"
3,"Tame Impala","Loser"
4,"SIENNA SPIRO","Great Expectation"
5,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
6,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
7,"Zusha","Don’t Leave Me On My Own"
8,"Mika Moshe","מזל שאתה פה"
9,"Bar Tzabari","ילדה מטורפת"
10,"Stilla & Ness","מונולוג"
11,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
12,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
13,"Eden Golan & ShrekDiMC","סטארבקס"
14,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
15,"Imael Angel","Bad Times (Extended Version)"
16,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
17,"Temper City","Self Aware"
18,"Young Buta","שחור לבן"
19,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
20,"Aitch","RMB (Ring My Bell)"
21,"Benaia Barabi","לילה טוב"
22,"The Avihu Pinhasov Rhythm Club","משום"
23,"Shay Hamber","הכל וכלום בבת אחת"
24,"dolly babe","Pink Blush"
25,"Mauvais Djo","Pilé (Gospel)"
26,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
27,"Rafael","Gotta Be Cool (Extended)"
28,"Nadav Hanzis","אביצ'י"
29,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
30,"Steve Lacy","oh yeah?"
31,"SIENNA SPIRO","You Stole The Show"
32,"BLOK3","Sebebi Yar"
33,"Dolly Parton & Kenny Rogers","Islands In the Stream"
34,"Shakira & Burna Boy","Dai Dai"
35,"Abagar Quartet","Припевки"
36,"Ariana Grande","petal"
37,"ניר כנען","אוי ואבוי לי"
38,"Aura Vortex & Blazy","Horizons (Phaxe Remix)"
39,"Harry Styles","Sign of the Times"
40,"Osher Cohen","דאון"
41,"Adele","Lovesong"
42,"Dolly Parton","I Will Always Love You"
43,"Jubet","Hardest Truth"
44,"Nina Simone","I Wish I Knew How It Would Feel to Be Free"
45,"Mor","לא קונה אותי"
46,"Itay Levy","06"
47,"Dolly Parton","Jolene"
48,"Meir Banai & Eviatar Banai","אבל את"
49,"DYSTINCT","YAMA"
50,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
51,"Dolly Parton","9 To 5"
52,"Fat Papi & prodshushy","FREAKED OUT"
53,"Bad Bunny","NUEVAYoL"
54,"Noodah05","Around Me"
55,"Sister Nancy","Bam Bam"
56,"Ella Langley","Be Her"
57,"Itay Levy","שקרים יפים"
58,"Omer Adam","ריו דה ז'נרו"
59,"גל ג'ומה & Asulin","זהרה"
60,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
61,"Tame Impala","Dracula"
62,"Ori Coltov","לא רוצה לאהוב אותי"
63,"Kimo Sounds","Rise Slow"
64,"Dave & Tems","Raindance"
65,"Osher Cohen","כולם גנבים"
66,"HVMBLE","KEEP ME IN PIECES (feat. CHER!SH)"
67,"Monica Sex","כישוף נגדי"
68,"Eden Ben Zaken","רולקס וקסקט"
69,"Darco","Baziman (Mixed)"
70,"Peer Tasi & Hanan Ben Ari","הלוואי"
71,"Chappell Roan","Good Luck, Babe!"
