
"Thursday, 10 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Roei Adam","אבי הטחול"
3,"SIENNA SPIRO","Great Expectation"
4,"Imael Angel","BAD TIMES"
5,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
6,"Tame Impala","Loser"
7,"Mika Moshe","מזל שאתה פה"
8,"Osher Cohen","דאון"
9,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
10,"Bar Tzabari","ילדה מטורפת"
11,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
12,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
13,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
14,"Zusha","Don’t Leave Me On My Own"
15,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
16,"Agam Buhbut","חמישי"
17,"Stilla & Ness","מונולוג"
18,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
19,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
20,"Eden Golan & ShrekDiMC","סטארבקס"
21,"Wxoda","Vibin"
22,"Temper City","Self Aware"
23,"Steve Lacy","oh yeah?"
24,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
25,"Benaia Barabi","לילה טוב"
26,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
27,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
28,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
29,"The Avihu Pinhasov Rhythm Club","משום"
30,"Peer Tasi & Hanan Ben Ari","הלוואי"
31,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
32,"BLOK3","Sebebi Yar"
33,"Ofek Adanek","נתתי לך בית"
34,"Young Buta","שחור לבן"
35,"Burak Bulut & Ebru Yaşar","Kehribar"
36,"Mauvais Djo","Pilé (Gospel)"
37,"Shay Hamber","הכל וכלום בבת אחת"
38,"Bar Tzabari & Shuli Rand","המלך בשדה"
39,"Rafael","Gotta Be Cool (Extended)"
40,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
41,"Dudu Tassa","בית ביפו"
42,"SABI & MIA BOYKA","Базовый минимум"
43,"Eyal Golan","בודד בעיר הגדולה"
44,"Marco","Niente Regole"
45,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
46,"Chappell Roan","Good Luck, Babe!"
47,"Ricchi & Poveri","Sarà Perché Ti Amo"
48,"Mor","לא קונה אותי"
49,"Osher Cohen","כולם גנבים"
50,"Prince & The Revolution","Purple Rain"
51,"Kimo Sounds","Rise Slow"
52,"Aitch","RMB (Ring My Bell)"
53,"Ella Langley","Be Her"
54,"Shakira & Burna Boy","Dai Dai"
55,"Olivia Rodrigo","stupid song"
56,"Darco","Baziman (Mixed)"
57,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
58,"Meir Banai & Eviatar Banai","אבל את"
59,"KATSEYE","Animal"
