
"Friday, 11 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Roei Adam","אבי הטחול"
3,"Imael Angel","BAD TIMES"
4,"SIENNA SPIRO","Great Expectation"
5,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
6,"Tame Impala","Loser"
7,"Osher Cohen","דאון"
8,"Mika Moshe","מזל שאתה פה"
9,"Bar Tzabari","ילדה מטורפת"
10,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
11,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
12,"Temper City","Self Aware"
13,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
14,"Odeya","פאפית"
15,"Zusha","Don’t Leave Me On My Own"
16,"Stilla & Ness","מונולוג"
17,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
18,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
19,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
20,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
21,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
22,"Ofek Adanek","נתתי לך בית"
23,"Agam Buhbut","חמישי"
24,"Peer Tasi & Hanan Ben Ari","הלוואי"
25,"Wxoda","Vibin"
26,"Eden Golan & ShrekDiMC","סטארבקס"
27,"The Avihu Pinhasov Rhythm Club","משום"
28,"Steve Lacy","oh yeah?"
29,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
30,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
31,"BLOK3","Sebebi Yar"
32,"Benaia Barabi","לילה טוב"
33,"Dudu Tassa","בית ביפו"
34,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
35,"Bar Tzabari & Shuli Rand","המלך בשדה"
36,"Young Buta","שחור לבן"
37,"Eyal Golan","בודד בעיר הגדולה"
38,"Mauvais Djo","Pilé (Gospel)"
39,"Shay Hamber","הכל וכלום בבת אחת"
40,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
41,"Itay Levy","06"
42,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
43,"Rafael","Gotta Be Cool (Extended)"
44,"Osher Cohen","כולם גנבים"
45,"Prince & The Revolution","Purple Rain"
46,"Burak Bulut & Ebru Yaşar","Kehribar"
47,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
48,"SABI & MIA BOYKA","Базовый минимум"
49,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
50,"Ricchi & Poveri","Sarà Perché Ti Amo"
51,"Meir Banai & Eviatar Banai","אבל את"
52,"Marco","Niente Regole"
53,"Kimo Sounds","Rise Slow"
54,"KAROL G, rusowsky & Judeline","BbY WOW"
55,"Mor","לא קונה אותי"
56,"Chappell Roan","Good Luck, Babe!"
57,"Odeya","עשר רמות מעליו"
