
"Sunday, 13 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"SIENNA SPIRO","Great Expectation"
3,"Imael Angel","BAD TIMES"
4,"Roei Adam","אבי הטחול"
5,"Osher Cohen","דאון"
6,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
7,"Odeya","פאפית"
8,"Bar Tzabari","ילדה מטורפת"
9,"Tame Impala","Loser"
10,"Mika Moshe","מזל שאתה פה"
11,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
12,"Ofek Adanek","נתתי לך בית"
13,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
14,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
15,"Temper City","Self Aware"
16,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
17,"Peer Tasi & Hanan Ben Ari","הלוואי"
18,"Stilla & Ness","מונולוג"
19,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
20,"Zusha","Don’t Leave Me On My Own"
21,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
22,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
23,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
24,"Eden Golan & ShrekDiMC","סטארבקס"
25,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
26,"Osher Cohen","כולם גנבים"
27,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
28,"Agam Buhbut","חמישי"
29,"Wxoda","Vibin"
30,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
31,"The Avihu Pinhasov Rhythm Club","משום"
32,"Eyal Golan","בודד בעיר הגדולה"
33,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
34,"Dudu Tassa","בית ביפו"
35,"Steve Lacy","oh yeah?"
36,"BLOK3","Sebebi Yar"
37,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
38,"Bar Tzabari & Shuli Rand","המלך בשדה"
39,"Prince & The Revolution","Purple Rain"
40,"Itay Levy","06"
41,"Shay Hamber","הכל וכלום בבת אחת"
42,"Young Buta","שחור לבן"
43,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
44,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
45,"Mauvais Djo","Pilé (Gospel)"
46,"Meir Banai & Eviatar Banai","אבל את"
47,"Ricchi & Poveri","Sarà Perché Ti Amo"
48,"Rafael","Gotta Be Cool (Extended)"
49,"Bad Bunny","NUEVAYoL"
50,"Odeya","עשר רמות מעליו"
51,"Kimo Sounds","Rise Slow"
52,"KAROL G, Judeline & rusowsky","BbY WOW"
53,"Full Trunk","אין מילים איתך"
54,"Mor","לא קונה אותי"
55,"Marco","Niente Regole"
56,"Benaia Barabi","לילה טוב"
57,"Shakira & Burna Boy","Dai Dai"
58,"Jaman T","Будь моей"
59,"KATSEYE","Animal"
60,"Ofer Levi","מאוהב בגשם"
61,"Aitch","RMB (Ring My Bell)"
62,"Burak Bulut & Ebru Yaşar","Kehribar"
63,"Roei Adam","אהבת חיי"
64,"גאיה שאקי","אם השם ירצה"
65,"TLC","No Scrubs"
66,"The Voice Israel, Eden Ben Zaken & אושר כהן","מנגינה"
67,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
68,"Adele","Lovesong"
69,"Indila","Dernière Danse"
70,"Yishay Swissa","בוא תגיד שלום"
71,"Sasson Efram Shaulov","נווה הדרים"
72,"Nadav Hanzis","אביצ'י"
73,"SABI & MIA BOYKA","Базовый минимум"
74,"Omer Adam","ריו דה ז'נרו"
75,"Stromae","Alors on danse (feat. Erik Hassle)"
76,"Itay Levy","03"
77,"Noa Kirel","לאב סונג"
78,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
79,"Peer Tasi","מה יהיה מחר"
80,"Agam Buhbut","המבט בעיניך"
81,"Odeya","דילן - 3898*"
82,"Odeya","רוצי ילדה"
83,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
84,"Empire Of The Sun","We Are The People"
85,"Shuli Rand","לב לבן"
86,"Ravyn Lenae","Love Me Not"
87,"The Voice Israel & אושר כהן","נגעת לי בלב"
88,"Chappell Roan","Good Luck, Babe!"
89,"Ella Langley","Be Her"
90,"KAROL G","Si Antes Te Hubiera Conocido"
91,"Noam Kleinstein","עיוור"
92,"Bonnie Tyler","Total Eclipse of the Heart"
93,"Odeya","את לא יודעת כמה שאני אוהב אותך"
94,"Mor","סחרחורות"
95,"Chris Isaak","Wicked Game"
96,"Kimo Sounds","Make It Spectacular"
97,"Lady Gaga & Bruno Mars","Die With A Smile"
98,"Rotem Shafran","לחפש אותי באחרים"
99,"Itay Levy","שקרים יפים"
100,"Don Miguelo","Y Qué Fue?"
101,"Nadav Hanzis","אהבה ראשונה"
102,"Alex Warren","FEVER DREAM"
103,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
104,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
105,"The Voice Israel, Idan Raichel, Eden Ben Zaken, Noa Kirel & Static","ארבעת המנטורים"
106,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
107,"Eden Ben Zaken","רולקס וקסקט"
108,"Adi Avrahami","זה מתחיל בצעד"
109,"Sean Paul featuring Keyshia Cole","(When You Gonna) Give It Up to Me [Radio Version] [feat. Keyshia Cole]"
110,"dolly babe","Pink Blush"
111,"&ME & Black Coffee","The Rapture Pt. III"
112,"Darco","Baziman (Mixed)"
113,"DJ.ILHAM","DIGIDI DIGIDI"
114,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
115,"כאן - תאגיד השידור הישראלי & Osher Cohen","בשנה הבאה"
116,"RÜFÜS DU SOL","Innerbloom"
117,"Yard Act","You're Gonna Need A Little Music"
118,"Rihanna","Don't Stop The Music"
