
"Wednesday, 16 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"SIENNA SPIRO","Great Expectation"
3,"Imael Angel","BAD TIMES"
4,"Odeya","פאפית"
5,"Roei Adam","אבי הטחול"
6,"Ofek Adanek","נתתי לך בית"
7,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
8,"Osher Cohen","דאון"
9,"Bar Tzabari","ילדה מטורפת"
10,"Tame Impala","Loser"
11,"Mika Moshe","מזל שאתה פה"
12,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
13,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
14,"Temper City","Self Aware"
15,"Peer Tasi & Hanan Ben Ari","הלוואי"
16,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
17,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
18,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
19,"KAROL G, Judeline & rusowsky","BbY WOW"
20,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
21,"Osher Cohen","כולם גנבים"
22,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
23,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
24,"The Avihu Pinhasov Rhythm Club","משום"
25,"Stilla & Ness","מונולוג"
26,"Wxoda","Vibin"
27,"Eden Golan & ShrekDiMC","סטארבקס"
28,"Zusha","Don’t Leave Me On My Own"
29,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
30,"Prince & The Revolution","Purple Rain"
31,"BLOK3","Sebebi Yar"
32,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
33,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
34,"Itay Levy","06"
35,"Bar Tzabari & Shuli Rand","המלך בשדה"
36,"Steve Lacy","oh yeah?"
37,"Jaman T","Будь моей"
38,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
39,"Meir Banai & Eviatar Banai","אבל את"
40,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
41,"Eyal Golan","בודד בעיר הגדולה"
42,"Bad Bunny","NUEVAYoL"
43,"Odeya","עשר רמות מעליו"
44,"Dudu Tassa","בית ביפו"
45,"Noa Kirel","לאב סונג"
46,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
47,"Rafael","Gotta Be Cool (Extended)"
48,"KATSEYE","Animal"
49,"Young Buta","שחור לבן"
50,"Yishay Swissa","בוא תגיד שלום"
51,"Full Trunk","אין מילים איתך"
52,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
53,"Adele","Lovesong"
54,"Rotem Shafran","לחפש אותי באחרים"
55,"Shakira & Burna Boy","Dai Dai"
56,"Eviatar Banai","פעימת לב"
57,"Peer Tasi","מה יהיה מחר"
58,"Mauvais Djo","Pilé (Gospel)"
59,"Kimo Sounds","Rise Slow"
60,"Ofer Levi","מאוהב בגשם"
61,"Lasgo","Something"
62,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
63,"Sapir Saban","נהיה בסדר"
64,"TLC","No Scrubs"
65,"Roei Adam","אהבת חיי"
66,"Mor","לא קונה אותי"
67,"Sasson Efram Shaulov","נווה הדרים"
68,"Michael Kiwanuka","Cold Little Heart"
69,"Omer Adam","ריו דה ז'נרו"
70,"Marco","Niente Regole"
71,"Stromae","Alors on danse (feat. Erik Hassle)"
72,"dolly babe","Pink Blush"
73,"Empire Of The Sun","We Are The People"
74,"Benaia Barabi","לילה טוב"
75,"Eden Ben Zaken","רולקס וקסקט"
76,"Ravyn Lenae","Love Me Not"
77,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
78,"Shay Hamber","הכל וכלום בבת אחת"
79,"Ella Langley","Be Her"
80,"Shuli Rand","לב לבן"
81,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
82,"Itay Levy","03"
83,"Chris Isaak","Wicked Game"
84,"Aitch","RMB (Ring My Bell)"
85,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
86,"Mor","סחרחורות"
87,"SABI & MIA BOYKA","Базовый минимум"
88,"Burak Bulut & Ebru Yaşar","Kehribar"
89,"Odeya","רוקי"
90,"Carla Morrison","Disfruto"
91,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
92,"Bonnie Tyler","Total Eclipse of the Heart"
93,"Don Miguelo","Y Qué Fue?"
94,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
95,"Odeya","רוצי ילדה"
96,"Lady Gaga","Judas"
97,"Harry Styles","Sign of the Times"
98,"גאיה שאקי","אם השם ירצה"
99,"GENER8ION & Yung Lean","STORM II"
100,"Kimo Sounds","Make It Spectacular"
101,"Marmalade","Reflections Of My Life"
102,"Musical Youth","Pass The Dutchie (12" Version)"
103,"Bad Bunny","DtMF"
104,"Agam Buhbut","המבט בעיניך"
105,"Peer Tasi","עוף מוזר"
106,"Agam Buhbut","חמישי"
107,"DJ.ILHAM","DIGIDI DIGIDI"
108,"Anderson .Paak","Come Down"
109,"Yard Act","You're Gonna Need A Little Music"
110,"Dave & Tems","Raindance"
111,"Nadav Hanzis","אהבה ראשונה"
112,"Ben Zur","אהבת השם"
113,"Michel Fugain & Le Big Bazar","Une belle histoire"
114,"Amy Macdonald","This Is The Life"
115,"Nahide Babashli","Anlasana"
116,"M83","Outro"
117,"Olivia Dean","So Easy (To Fall In Love)"
118,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
119,"Oasis","Don't Look Back In Anger"
120,"Darco","Baziman (Mixed)"
121,"Noam Kleinstein","עיוור"
122,"R.I.O.","Shine On"
123,"Yogev Glusman & Sarai Zak Levi","גיטרה וכינור (מיוחד לכאן 88)"
124,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
125,"Adi Avrahami","זה מתחיל בצעד"
