
"Saturday, 19 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Odeya","פאפית"
3,"Imael Angel","BAD TIMES"
4,"SIENNA SPIRO","Great Expectation"
5,"Ofek Adanek","נתתי לך בית"
6,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
7,"Roei Adam","אבי הטחול"
8,"KAROL G, Judeline & rusowsky","BbY WOW"
9,"Osher Cohen","דאון"
10,"Mika Moshe","מזל שאתה פה"
11,"Tame Impala","Loser"
12,"Bar Tzabari","ילדה מטורפת"
13,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
14,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
15,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
16,"Wxoda","Vibin"
17,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
18,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
19,"Zusha","Don’t Leave Me On My Own"
20,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
21,"The Avihu Pinhasov Rhythm Club","משום"
22,"Noa Kirel","לאב סונג"
23,"Prince & The Revolution","Purple Rain"
24,"Stilla & Ness","מונולוג"
25,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
26,"BLOK3","Sebebi Yar"
27,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
28,"Eviatar Banai","פעימת לב"
29,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
30,"Temper City","Self Aware"
31,"Osher Cohen","כולם גנבים"
32,"Sapir Saban","נהיה בסדר"
33,"Peer Tasi & Hanan Ben Ari","הלוואי"
34,"Bar Tzabari & Shuli Rand","המלך בשדה"
35,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
36,"Miri Mesika & גלגלצ","עוף מוזר (מתוך המצעד הישראלי השנתי תשפ''ו)"
37,"KATSEYE","Animal"
38,"Jaman T","Будь моей"
39,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
40,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
41,"Adele","Lovesong"
42,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
43,"Rafael","Gotta Be Cool (Extended)"
44,"Rotem Shafran","לחפש אותי באחרים"
45,"Steve Lacy","oh yeah?"
46,"Eden Golan & ShrekDiMC","סטארבקס"
47,"Eyal Golan","בודד בעיר הגדולה"
48,"GENER8ION & Yung Lean","STORM II"
49,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
50,"Idan Amedi & Omer Adam","כאב של לוחמים + בחורים טובים (מתוך חזרות למופע NEXT)"
51,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
52,"Mor","לא קונה אותי"
53,"Benaia Barabi","לילה טוב"
54,"Empire Of The Sun","We Are The People"
55,"Young Buta","שחור לבן"
56,"Ben Zur","שבורה מגעגוע"
57,"Yishay Swissa","בוא תגיד שלום"
58,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
59,"Mauvais Djo","Pilé (Gospel)"
60,"Meir Banai & Eviatar Banai","אבל את"
61,"Peer Tasi","מה יהיה מחר"
62,"George Michael","Careless Whisper"
63,"Lasgo","Something"
64,"Dave & Tems","Raindance"
65,"ADÉLA","Nicole Kidman"
66,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
67,"dolly babe","Pink Blush"
68,"The Tractor's Revenge","אדון הסליחות"
69,"Shakira & Burna Boy","Dai Dai"
70,"Kimo Sounds","Make It Spectacular"
71,"TLC","No Scrubs"
72,"Bad Bunny","NUEVAYoL"
73,"Odeya & Ben Zur","ואני בחסדך בטחתי"
74,"Falling In Reverse, Corey Taylor & Serj Tankian","Joseph"
75,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
76,"Kimo Sounds","Rise Slow"
77,"Agam Buhbut","חמישי"
78,"Stromae","Alors on danse (feat. Erik Hassle)"
79,"Ella Langley","Be Her"
80,"Itay Levy","06"
81,"Dire Straits","Your Latest Trick"
82,"Ravyn Lenae","Love Me Not"
83,"Mazzy Star","Fade into You"
84,"DYSTINCT","YAMA"
85,"Michael Kiwanuka","Cold Little Heart"
86,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
87,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
88,"Lady Gaga","Judas"
89,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
90,"Marco","Niente Regole"
91,"SABI & MIA BOYKA","Базовый минимум"
92,"Depeche Mode","Enjoy the Silence"
93,"Bryan Adams","Heaven"
94,"Proyecto Uno","Tiburon"
95,"Aitch","RMB (Ring My Bell)"
96,"Bruno Mars","Risk It All"
97,"Odeya","עשר רמות מעליו"
98,"Infrasomniac","Sunny Night"
99,"Nahide Babashli","Anlasana"
100,"DJ.ILHAM","DIGIDI DIGIDI"
101,"Lord Huron","The Night We Met"
102,"Bronski Beat","Smalltown Boy"
103,"Yard Act","You're Gonna Need A Little Music"
104,"גאיה שאקי","אם השם ירצה"
105,"Gala","Freed From Desire"
106,"sombr","back to friends"
107,"Zaid Khaled & Ahmed Diaa","Khatem"
