
"Tuesday, 22 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Odeya","פאפית"
3,"SIENNA SPIRO","Great Expectation"
4,"Imael Angel","BAD TIMES"
5,"Ofek Adanek","נתתי לך בית"
6,"KAROL G, Judeline & rusowsky","BbY WOW"
7,"Roei Adam","אבי הטחול"
8,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
9,"Osher Cohen","דאון"
10,"Mika Moshe","מזל שאתה פה"
11,"Bar Tzabari","ילדה מטורפת"
12,"Tame Impala","Loser"
13,"Wxoda","Vibin"
14,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
15,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
16,"Prince & The Revolution","Purple Rain"
17,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
18,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
19,"Stilla & Ness","מונולוג"
20,"Noa Kirel","לאב סונג"
21,"Zusha","Don’t Leave Me On My Own"
22,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
23,"The Avihu Pinhasov Rhythm Club","משום"
24,"Sapir Saban","נהיה בסדר"
25,"BLOK3","Sebebi Yar"
26,"Eviatar Banai","פעימת לב"
27,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
28,"Miri Mesika & גלגלצ","עוף מוזר (מתוך המצעד הישראלי השנתי תשפ''ו)"
29,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
30,"Bronski Beat","Smalltown Boy"
31,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
32,"Bar Tzabari & Shuli Rand","המלך בשדה"
33,"Peer Tasi & Hanan Ben Ari","הלוואי"
34,"Temper City","Self Aware"
35,"Ben Zur","שבורה מגעגוע"
36,"GENER8ION & Yung Lean","STORM II"
37,"Idan Amedi & Omer Adam","כאב של לוחמים + בחורים טובים (מתוך חזרות למופע NEXT)"
38,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
39,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
40,"Adele","Lovesong"
41,"ADÉLA","Nicole Kidman"
42,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
43,"KATSEYE","Animal"
44,"Rotem Shafran","לחפש אותי באחרים"
45,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
46,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
47,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
48,"Odeya & Ben Zur","ואני בחסדך בטחתי"
49,"Jaman T","Будь моей"
50,"Steve Lacy","oh yeah?"
51,"Mor","לא קונה אותי"
52,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
53,"Eyal Golan","בודד בעיר הגדולה"
54,"Empire Of The Sun","We Are The People"
55,"Ishay Ribo","סדר העבודה"
56,"George Michael","Careless Whisper"
57,"Rafael","Gotta Be Cool (Extended)"
58,"The Tractor's Revenge","אדון הסליחות"
59,"Young Buta","שחור לבן"
60,"Benaia Barabi","לילה טוב"
61,"Falling In Reverse, Corey Taylor & Serj Tankian","Joseph"
62,"Mauvais Djo","Pilé (Gospel)"
63,"Dave & Tems","Raindance"
64,"Mazzy Star","Fade into You"
65,"Lady Gaga","Judas"
66,"TLC","No Scrubs"
67,"SABI & MIA BOYKA","Базовый минимум"
68,"Kimo Sounds","Make It Spectacular"
69,"Chris Isaak","Wicked Game"
70,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
71,"Osher Cohen","כולם גנבים"
72,"Dire Straits","Your Latest Trick"
73,"Chicago","Hard to Say I'm Sorry"
74,"Meir Banai","לך אלי"
75,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
76,"Infrasomniac","Sunny Night"
77,"Bad Bunny","NUEVAYoL"
78,"Eden Golan & ShrekDiMC","סטארבקס"
79,"Ravyn Lenae","Love Me Not"
80,"dolly babe","Pink Blush"
81,"Lasgo","Something"
82,"Yishay Swissa","בוא תגיד שלום"
83,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
84,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew) [A COLORS SHOW]"
85,"Ishay Ribo & Motty Steinmetz","נפשי"
86,"Stromae","Alors on danse (feat. Erik Hassle)"
87,"גאיה שאקי","אם השם ירצה"
88,"Meir Banai & Eviatar Banai","אבל את"
89,"DYSTINCT","YAMA"
90,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
91,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
92,"Nahide Babashli","Anlasana"
93,"Prod Nifo & BLACKX","Dubi Dubi Dam Dam"
94,"Sting","Shape Of My Heart"
95,"Yard Act","You're Gonna Need A Little Music"
96,"Kimo Sounds","Rise Slow"
97,"BLOK3","Değiştiremezsin Yazılmışsa"
98,"Sasson Efram Shaulov","נווה הדרים"
99,"Depeche Mode","Enjoy the Silence"
100,"ROSALÍA & Yahritza Y Su Esencia","La Perla"
101,"Leonard Cohen","Who By Fire"
102,"Zaid Khaled & Ahmed Diaa","Khatem"
103,"El De Las R's","Beretta (De Los Cerros La Escuela)"
