
"Sunday, 6 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Roei Adam","אבי הטחול"
3,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
4,"SIENNA SPIRO","Great Expectation"
5,"Tame Impala","Loser"
6,"Mika Moshe","מזל שאתה פה"
7,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
8,"Osher Cohen","דאון"
9,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
10,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
11,"Bar Tzabari","ילדה מטורפת"
12,"Agam Buhbut","חמישי"
13,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
14,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
15,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
16,"Stilla & Ness","מונולוג"
17,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
18,"Zusha","Don’t Leave Me On My Own"
19,"Burak Bulut & Ebru Yaşar","Kehribar"
20,"Imael Angel","BAD TIMES"
21,"Eden Golan & ShrekDiMC","סטארבקס"
22,"The Avihu Pinhasov Rhythm Club","משום"
23,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
24,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
25,"Steve Lacy","oh yeah?"
26,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
27,"Benaia Barabi","לילה טוב"
28,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
29,"BLOK3","Sebebi Yar"
30,"Mauvais Djo","Pilé (Gospel)"
31,"Eden Hason, Nadav Hanzis & גלגלצ","אדם שבור / אהבה ראשונה (מיוחד למצעד הישראלי השנתי תשפ"ו)"
32,"Young Buta","שחור לבן"
33,"Shay Hamber","הכל וכלום בבת אחת"
34,"Temper City","Self Aware"
35,"Ella Langley","Be Her"
36,"Rafael","Gotta Be Cool (Extended)"
37,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
38,"Omega, Chimbala & B one El Productor De Oro","Se Me Nota (Agarrame)"
39,"Gipsy Kings","Volare"
40,"Darco","Baziman (Mixed)"
41,"Chappell Roan","Good Luck, Babe!"
42,"dolly babe","Pink Blush"
43,"SABI & MIA BOYKA","Базовый минимум"
44,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
45,"Wxoda","Vibin"
46,"Elderbrook & Bob Moses","Inner Light"
47,"STOSLIV & LOVIXX","dont tell your dreams to everybody"
48,"Peer Tasi & Hanan Ben Ari","הלוואי"
49,"Osher Cohen","כולם גנבים"
50,"Shakira & Burna Boy","Dai Dai"
51,"Aitch","RMB (Ring My Bell)"
52,"Marco","Niente Regole"
53,"Harry Styles","Sign of the Times"
54,"Ella Langley","Choosin' Texas"
55,"Kimo Sounds","Rise Slow"
56,"Itay Levy","06"
57,"Bad Bunny","NUEVAYoL"
